FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural,Plant operator name,Balancing Authority Name,Balancing Authority Code,NERC region acronym,eGRID subregion acronym,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant coal generation percent (resource mix),Plant oil generation percent (resource mix),Plant gas generation percent (resource mix),Plant nuclear generation percent (resource mix),Plant hydro generation percent (resource mix),Plant biomass generation percent (resource mix),Plant wind generation percent (resource mix),Plant solar generation percent (resource mix),Plant geothermal generation percent (resource mix),Plant other fossil generation percent (resource mix),Plant other unknown / purchased fuel generation percent (resource mix)
65556,Seagrove,,,NC,,35.532427,-79.787634,Randolph,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,,,,,,,,,,,
59592,Sedberry Farm,,,NC,,35.243889,-79.321667,Moore,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58669,Selma Solar LLC,,,NC,,35.576389,-78.183333,Johnston,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58956,Shankle Solar Center LLC,,,NC,,34.943889,-79.195833,Hoke,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
58323,Shannon Farm,,,NC,,34.8475,-79.128889,Robeson,,,,Duke Energy Progress - (NC),Duke Energy Progress East,CPLE,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
59155,Shawboro PV1,,,NC,,36.433333,-76.087222,Currituck,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
60101,"Shelby Randolph Road Solar 1, LLC",,,NC,,35.309229,-81.588436,Cleveland,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
57200,Shelby Solar Energy Generation Facility,,,NC,,35.2536,-81.5956,Cleveland,,,,City of Shelby - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
54363,"Shelby, NC",,,NC,,35.3264,-81.6292,Cleveland,,,,"Duke Energy Carolinas, LLC",Duke Energy Carolinas,DUK,SERC,SRVC,DFO,OIL,,,,,,,,,,,
56063,"Shelby, Toms Street",,,NC,,35.3036,-81.5225,Cleveland,,,,City of Shelby - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,DFO,OIL,,,,,,,,,,,
60156,Shelter Solar,,,NC,,34.983772,-79.268026,Hoke,,,,Duke Energy Progress - (NC),Duke Energy Carolinas,DUK,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
62691,Shiloh Hwy Solar,,,NC,,36.27,-76.033,Camden,,,,Virginia Electric & Power Co,"PJM Interconnection, LLC",PJM,SERC,SRVC,SUN,SOLAR,0,0,0,0,0,0,0,100,0,0,0
